#radius	rep	total	nb	hnb	bd	hd	d	be	he	e	bg	hg	g	
0	1	1	1	2	0.259	0.755	0.247	0.249	0.873	0.249	0.645	0.875	0.653	
1	1	9	9	6	0.781	1.3	0.777	0.776	1.57	0.776	1.78	1.69	1.71	
2	1	25	21	10	1.85	2	1.8	1.9	2.41	1.89	3.87	2.31	3.88	
3	1	49	37	14	3.3	2.53	3.22	3.37	3.07	3.37	6.93	2.97	6.87	
4	1	81	69	18	5.72	3.06	5.74	5.98	3.8	5.98	11.9	3.56	3.56	
5	1	121	97	22	8.39	3.6	3.6	8.79	4.48	4.5	17.2	4.19	4.39	
6	1	169	137	26	11.6	4.15	4.14	12.1	5.24	5.13	23.8	4.85	4.84	
7	1	225	177	30	15	4.7	4.68	15.6	5.89	5.83	30.7	5.47	5.46	
8	1	289	225	34	19.1	5.25	5.24	20	6.58	6.84	39.2	6.23	6.11	
9	1	361	293	38	24	5.81	5.78	25.3	7.23	7.82	49.5	6.82	6.73	
10	1	441	349	42	29.2	6.34	6.41	30.7	8.1	8.56	59.8	7.38	7.45	
15	1	961	749	62	66	9.69	9.98	69.7	11.9	12.1	135	11.5	11.6	
20	1	1681	1313	82	122	13.5	13.4	128	16.3	16.2	250	15.5	15.4	
