#radius	rep	total	nb	hnb	im size	d	hd
5	5	121	121	22	65536	0.12854	0.0313388
5	5	121	121	22	47524	0.101405	0.0228124
5	5	121	121	22	33856	0.0794738	0.0164058
5	5	121	121	22	24336	0.0633437	0.0119103
5	5	121	121	22	17424	0.0505752	0.00845222
5	5	121	121	22	12544	0.0406996	0.006248
5	5	121	121	22	9216	0.0334678	0.00453258
5	5	121	121	22	6400	0.0272942	0.00318828
5	5	121	121	22	4624	0.022164	0.00237637
5	5	121	121	22	3364	0.0182924	0.00171075
5	5	121	121	22	2304	0.0146986	0.00119958
5	5	121	121	22	1600	0.0121212	0.000849819
5	5	121	121	22	1156	0.010019	0.000629377
5	5	121	121	22	784	0.00830698	0.000438833
5	5	121	121	22	576	0.00696278	0.000326014
5	5	121	121	22	400	0.0058044	0.000231409
5	5	121	121	22	256	0.00462704	0.00015769
5	5	121	121	22	196	0.00405645	0.000121355
5	5	121	121	22	144	0.00350676	8.90732e-05
5	5	121	121	22	100	0.00294948	6.35624e-05
5	5	121	121	22	64	0.00238843	4.43935e-05
5	5	121	121	22	36	0.00185804	2.98023e-05
5	5	121	121	22	16	0.00100889	2.18868e-05
5	5	121	121	22	16	0.00100193	1.93119e-05
5	5	121	121	22	4	0.000274181	1.35899e-05
5	5	121	121	22	4	0.000270605	1.35899e-05
