#radius	rep	total	nb	hnb	d	hd
3	5	49	1	2	1.43772	0.756966
3	5	49	2	2	1.46657	0.741111
3	5	49	3	2	1.50463	0.731947
3	5	49	4	2	1.54233	0.724415
3	5	49	5	2	1.58101	0.719705
3	5	49	6	2	1.6195	0.716523
3	5	49	7	4	1.65905	1.0099
3	5	49	8	4	1.77753	1.008
3	5	49	9	4	1.81555	1.00589
3	5	49	10	4	1.85391	1.00464
3	5	49	11	4	1.89326	1.00473
3	5	49	12	4	1.93184	1.00686
3	5	49	13	4	1.97143	1.00853
3	5	49	14	6	2.00936	1.29614
3	5	49	15	6	2.04819	1.29658
3	5	49	16	6	2.09055	1.2962
3	5	49	17	6	2.1343	1.29479
3	5	49	18	6	2.17683	1.29418
3	5	49	19	6	2.22023	1.2939
3	5	49	20	6	2.26752	1.29296
3	5	49	21	8	2.32089	1.75735
3	5	49	22	8	2.34897	1.75506
3	5	49	23	8	2.39294	1.75554
3	5	49	24	8	2.43133	1.75397
3	5	49	25	8	2.47014	1.76989
3	5	49	26	8	2.50838	1.75517
3	5	49	27	8	2.5477	1.75891
3	5	49	28	10	2.58613	2.01504
3	5	49	29	10	2.62554	2.01295
3	5	49	30	10	2.66375	2.01279
3	5	49	31	10	2.70305	2.01233
3	5	49	32	10	2.74088	2.01291
3	5	49	33	10	2.7804	2.01246
3	5	49	34	10	2.81871	2.0119
3	5	49	35	12	2.85763	2.28679
3	5	49	36	12	2.89588	2.28745
3	5	49	37	12	2.93586	2.28336
3	5	49	38	12	2.97386	2.28621
3	5	49	39	12	3.01293	2.28687
3	5	49	40	12	3.05163	2.2844
3	5	49	41	12	3.09049	2.287
3	5	49	42	14	3.12902	2.56496
3	5	49	43	14	3.17355	2.56695
3	5	49	44	14	3.15529	2.56414
3	5	49	45	14	3.19351	2.56166
3	5	49	46	14	3.23172	2.5588
3	5	49	47	14	3.26688	2.56508
3	5	49	48	14	3.3259	2.57994
3	5	49	49	14	3.32612	2.56263
